"New York, NY", 40.7127281, -74.0060152
"San Francisco, CA", 37.7790262, -122.419906
"Chicago, IL", 41.8755616, -87.6244212
"Atlanta, GA", 33.7849591, -84.442163
"Seattle, WA", 47.6038321, -122.3300624
"San Diego, CA", 32.7174202, -117.1627728
"Boston, MA", 42.3602534, -71.0582912
"Dallas, TX", 32.7762719, -96.7968559
"Los Angeles, CA", 34.0536909, -118.242766
"Charlotte, NC", 35.2272086, -80.8430827
"Pittsburgh, PA", 40.4416941, -79.9900861
"Philadelphia, PA", 39.9527237, -75.1635262
"Houston, TX", 29.7589382, -95.3676974
"Minneapolis, MN", 44.9772995, -93.2654692
"St. Louis, MO", 38.6529545, -90.24111656024635
"Irvine, CA", 33.6856969, -117.8259819
"Denver, CO", 5.3428475, -72.3959849
"Phoenix, AZ", 33.4484367, -112.0741417
"Austin, TX", 30.2711286, -97.7436995
"Columbus, OH", 39.9622601, -83.0007065
"Raleigh, NC", 35.7803977, -78.6390989
"Cambridge, MA", 42.3750997, -71.1056157
"San Antonio, TX", 29.4246002, -98.4951405
"Nashville, TN", 36.2206081, -86.69563733154433
"Tampa, FL", 27.9477595, -82.458444
"Irving, TX", 32.8295183, -96.9442177
"Washington, DC", 38.8949924, -77.0365581
"Durham, NC", 35.996653, -78.9018053
"Salt Lake City, UT", 40.7596198, -111.8867975
"Cincinnati, OH", 39.1014537, -84.5124602
"Miami, FL", 25.7741728, -80.19362
"Portland, OR", 45.5202471, -122.6741949
"Plano, TX", 33.0136764, -96.6925096
"Richmond, VA", 49.1977086, -123.1912406
"Princeton, NJ", 40.3492744, -74.6592958
"Hartford, CT", 41.7655582, -72.69061276146614
"Indianapolis, IN", 39.9164009, -86.0519568269157
"Sacramento, CA", 38.5810606, -121.493895
"Detroit, MI", 42.3315509, -83.0466403
"Alpharetta, GA", 34.0709576, -84.2747329
"Boulder, CO", 5.76420625, -73.37509176653637
"Arlington, VA", 38.87924315, -77.11760150099784
"Tempe, AZ", 33.4255056, -111.9400091
"Cleveland, OH", 41.5051613, -81.6934446
"Bellevue, WA", 47.6144219, -122.192337
"San Jose, CA", 37.3361905, -121.890583
"Wilmington, DE", 39.7459468, -75.546589
"Milwaukee, WI", 43.0349931, -87.922497
"Orlando, FL", 28.5421109, -81.3790304
"Ann Arbor, MI", 42.2681569, -83.7312291
"Santa Clara, CA", 37.2333253, -121.6846349
"Lake County, IL", 42.3327033, -87.9939552
"Huntsville, AL", 34.729847, -86.5859011
"Stamford, CT", 41.072089, -73.54443614832871
"Las Vegas, NV", 36.1672559, -115.148516
"Madison, WI", 43.074761, -89.3837613
"Kansas City, MO", 39.100105, -94.5781416
"Oak Ridge, TN", 36.0103562, -84.2696449
"Fremont, CA", 37.5482697, -121.988571
"Albuquerque, NM", 35.0841034, -106.650985
"Redmond, WA", 47.6694141, -122.1238767
"Dearborn, MI", 42.3222599, -83.1763145
"Eden Prairie, MN", 44.8546856, -93.470786
"Richardson, TX", 32.9481789, -96.7297206
"Santa Monica, CA", 34.0194704, -118.4912273
"Jacksonville, FL", 30.3321838, -81.655651
"Palo Alto, CA", 37.4443293, -122.1598465
"Louisville, KY", 38.2542376, -85.759407
"Boise, ID", 43.6166163, -116.200886
"Des Moines, IA", 41.5910323, -93.6046655
"San Francisco Bay Area, CA", 37.7884969, -122.3558473
"Scottsdale, AZ", 33.4942189, -111.9260184
"Birmingham, AL", 52.4459629, -1.8237251
"Pleasanton, CA", 37.6624312, -121.8746789
"Mountain View, CA", 37.3893889, -122.0832101
"Fort Lauderdale, FL", 26.1223084, -80.1433786
"McLean, VA", 40.4631789, -88.8196613
"Draper, UT", 40.5246711, -111.8638226
"Dayton, OH", 39.7589478, -84.1916069
"Saint Petersburg, FL", 27.7703796, -82.6695085
"Carlsbad, CA", 33.1580933, -117.3505966
"United States", 39.7837304, -100.4458825
"Santa Clara Valley, CA", 37.2333253, -121.6846349
"Dublin, OH", 40.0992294, -83.1140771
"Costa Mesa, CA", 33.6633386, -117.903317
"Lehi, UT", 40.3880902, -111.8491619
"Beaverton, OR", 45.4871723, -122.80378
"Honolulu, HI", 21.304547, -157.855676
"Jersey City, NJ", 40.7215682, -74.047455
"Cary, NC", 35.7882893, -78.7812081
"Malvern, PA", 31.1393439, -85.5191005
"Colorado Springs, CO", 38.8339578, -104.8253485
"Sunnyvale, CA", 37.3688301, -122.036349
"Riverwoods, IL", 42.1676068, -87.8970986
"Broomfield, CO", 39.9203827, -105.0691464
"Rochester, MN", 44.0234387, -92.4630182
"Santa Barbara, CA", 34.4221319, -119.7026673
"Omaha, NE", 41.2587459, -95.9383758
"Oklahoma City, OK", 35.4729886, -97.5170536
"Burbank, CA", 34.1816482, -118.3258554
"Fort Worth, TX", 32.753177, -97.3327459
"El Segundo, CA", 33.917028, -118.4156337
"Hillsboro, OR", 45.5228939, -122.989827
"Overland Park, KS", 38.9742502, -94.6851702
"Columbia, SC", 34.0007493, -81.0343313
"New Orleans, LA", 29.9499323, -90.0701156
"Morrisville, NC", 35.824341, -78.8300321
"Buffalo, NY", 42.8867166, -78.8783922
"Knoxville, TN", 35.9603948, -83.9210261
"Shelton, CT", 41.31561, -73.14016262885858
"Oakland, CA", 37.8044557, -122.2713563
"Fort Washington, PA", 40.14785315, -75.18972428892617
"Memphis, TN", 35.1490215, -90.0516285
"King of Prussia, PA", 40.09476245, -75.3851333563417
"Thousand Oaks, CA", 34.17142715, -118.91058772974445
"Winston-Salem, NC", 36.0998131, -80.2440518
"Rochester, NY", 43.157285, -77.615214
"Plymouth Meeting, PA", 40.102332, -75.2743467
"Reston, VA", 38.955696, -77.34188283719988
"Northbrook, IL", 42.128704, -87.8265089
"Charleston, SC", 32.7876012, -79.9402728
"Bothell, WA", 47.7598697, -122.2068288
"Pasadena, CA", 34.1476452, -118.1444779
"Tucson, AZ", 32.2228765, -110.9748477
"Hill AFB, UT", 41.1227542, -111.977344
"Deerfield, IL", 42.1711365, -87.8445119
"Waltham, MA", 42.3756401, -71.2358004
"Chandler, AZ", 33.3061605, -111.84125
"Anchorage, AK", 61.2163129, -149.894852
"Tulsa, OK", 36.1556805, -95.9929113
"Milpitas, CA", 37.4282724, -121.9066238
"Frisco, TX", 33.1506744, -96.8236116
"New Britain, CT", 41.6796456, -72.78834682044055
"Menlo Park, CA", 37.4519671, -122.1779927
"Chesterfield, MO", 38.661953, -90.5643258
"Vista, CA", 33.2000368, -117.2425355
"Baltimore, MD", 39.2908816, -76.610759
"Newport Beach, CA", 33.6170092, -117.9294401
"Research Triangle Park, NC", 35.90569775, -78.87482418022022
"Little Rock, AR", 34.7464809, -92.2895948
"Lincoln, NE", 41.1280799, -101.1313806
"Gaithersburg, MD", 39.1434406, -77.2013705
"Collegeville, PA", 40.1856597, -75.451571
"Norfolk, VA", 52.56365215, 1.2623608080231654
"Spring House, PA", 40.1853862, -75.2276756
"Emeryville, CA", 37.8314089, -122.2865266
"Tallahassee, FL", 30.4380832, -84.2809332
"Littleton, CO", 39.613321, -105.0166498
"Saint Paul, MN", 44.9500208, -93.0949764
"Brookfield, WI", 43.0605671, -88.1064787
"San Ramon, CA", 37.7648021, -121.9544387
"Glendale, CA", 34.1469416, -118.2478471
"Southfield, MI", 42.4733689, -83.2218731
"Reno, NV", 39.5261206, -119.8126581
"Plymouth, MN", 45.0065149, -93.46651
"Greensboro, NC", 36.0726355, -79.7919754
"Titusville, NJ", 40.3095516, -74.8804428
"Livermore, CA", 37.6820583, -121.7680531
"Wichita, KS", 37.6922361, -97.3375448
"Framingham, MA", 42.3095704, -71.4413097
"Topeka, KS", 39.049011, -95.677556
"La Jolla, CA", 32.83259, -117.2716839
"Englewood, CO", 39.6482059, -104.9879641
"Louisville, CO", 38.2542376, -85.759407
"Bethesda, MD", 38.9819845, -77.12423413116392
"California", 36.7014631, -118.755997
"Spring, TX", 30.0798826, -95.4172549
"Fort Bragg, NC", 35.142277500000006, -78.99872788691951
"Franklin, WI", 42.888627, -88.0384195
"Tysons Corner, VA", 38.916509000000005, -77.22578585192836
"Markham, IL", 43.8563707, -79.3376825
"Troy, MI", 42.6055893, -83.1499304
"Basking Ridge, NJ", 40.7064088, -74.5492725
"Fort Wayne, IN", -34.9246801, -54.9546066
"Greenwood Village, CO", 39.6172101, -104.9508141
"Norwalk, CT", 41.1175966, -73.4078968
"Concord, CA", 37.9768525, -122.0335624
"Windsor, CT", 51.483757749999995, -0.6040964041849046
"Fort Gordon, GA", 33.420972, -82.1620645
"Herndon, VA", 39.909726, -100.785153
