0,"New York, NY"
1,"Austin, TX"
2,"San Francisco, CA"
3,"Chicago, IL"
4,"Seattle, WA"
5,"Atlanta, GA"
6,"Washington, DC"
7,"Boston, MA"
8,"San Diego, CA"
9,"Dallas, TX"
10,"Los Angeles, CA"
11,"Charlotte, NC"
12,"Philadelphia, PA"
13,"Pittsburgh, PA"
14,"Houston, TX"
15,"Minneapolis, MN"
16,"St. Louis, MO"
17,"Denver, CO"
18,"Phoenix, AZ"
19,"Irvine, CA"
20,"Columbus, OH"
21,"Cambridge, MA"
22,"San Jose, CA"
23,"Raleigh, NC"
24,"Tampa, FL"
25,"San Antonio, TX"
26,"Durham, NC"
27,"Nashville, TN"
28,"Plano, TX"
29,"Miami, FL"
30,"Irving, TX"
31,"Salt Lake City, UT"
32,"Richmond, VA"
33,"Portland, OR"
34,"Hartford, CT"
35,"Princeton, NJ"
36,"Cincinnati, OH"
37,"Arlington, VA"
38,"Indianapolis, IN"
39,"Sacramento, CA"
40,"Santa Clara, CA"
41,"Bellevue, WA"
42,"Alpharetta, GA"
43,"Wilmington, DE"
44,"Detroit, MI"
45,"Orlando, FL"
46,"McLean, VA"
47,"Charlottesville, VA"
48,"Boulder, CO"
49,"Tempe, AZ"
50,"Ann Arbor, MI"
51,"Cleveland, OH"
52,"Stamford, CT"
53,"Huntsville, AL"
54,"Fremont, CA"
55,"Eden Prairie, MN"
56,"Redmond, WA"
57,"Las Vegas, NV"
58,"Baltimore, MD"
59,"Madison, WI"
60,"Milwaukee, WI"
61,"Lake County, IL"
62,"Kansas City, MO"
63,"Palo Alto, CA"
64,"Jersey City, NJ"
65,"Gaithersburg, MD"
66,"Albuquerque, NM"
67,"San Francisco Bay Area, CA"
68,"Des Moines, IA"
69,"Oak Ridge, TN"
70,"Jacksonville, FL"
71,"Dearborn, MI"
72,"Louisville, KY"
73,"Sunnyvale, CA"
74,"Richardson, TX"
75,"Santa Monica, CA"
76,"Birmingham, AL"
77,"Boise, ID"
78,"Rockville, MD"
79,"Mountain View, CA"
80,"Santa Clara Valley, CA"
81,"Bethesda, MD"
82,"Beaverton, OR"
83,"Malvern, PA"
84,"Reston, VA"
85,"Dayton, OH"
86,"Oakland, CA"
87,"Scottsdale, AZ"
88,"Cary, NC"
89,United States
90,"Fort Lauderdale, FL"
91,"Oklahoma City, OK"
92,"Burbank, CA"
93,"Carlsbad, CA"
94,"Broomfield, CO"
95,"Pleasanton, CA"
96,"Riverwoods, IL"
97,"Saint Petersburg, FL"
98,"Costa Mesa, CA"
99,"Basking Ridge, NJ"
100,"Hillsboro, OR"
101,"Draper, UT"
102,"Colorado Springs, CO"
103,"Lancaster, PA"
104,"Fort Worth, TX"
105,"Honolulu, HI"
106,"Rochester, MN"
107,"Dublin, OH"
108,"Lehi, UT"
109,"Waltham, MA"
110,"El Segundo, CA"
111,"Memphis, TN"
112,"Omaha, NE"
113,"Alexandria, VA"
114,"Emeryville, CA"
115,"Columbia, SC"
116,"Falls Church, VA"
117,"Annapolis Junction, MD"
118,"Santa Barbara, CA"
119,"Morrisville, NC"
120,"New Orleans, LA"
121,"Menlo Park, CA"
122,"Buffalo, NY"
123,"Milpitas, CA"
124,"Winston-Salem, NC"
125,"Plymouth Meeting, PA"
126,"Knoxville, TN"
127,"Herndon, VA"
128,"King of Prussia, PA"
129,"Overland Park, KS"
130,"Chandler, AZ"
131,"Titusville, NJ"
132,"Shelton, CT"
133,"Northbrook, IL"
134,"Thousand Oaks, CA"
135,"Englewood, CO"
136,"Fort Washington, PA"
137,"Deerfield, IL"
138,"Rochester, NY"
139,"Tucson, AZ"
140,"Lincoln, NE"
141,"Charleston, SC"
142,"Newark, NJ"
143,"San Mateo, CA"
144,"Chantilly, VA"
145,"Newark, CA"
146,"Quantico, VA"
147,"New Britain, CT"
148,"Raritan, NJ"
149,"Spring House, PA"
150,"Collegeville, PA"
151,"Pasadena, CA"
152,"San Ramon, CA"
153,"Florham Park, NJ"
154,"Research Triangle Park, NC"
155,"Anchorage, AK"
156,"Frisco, TX"
157,"Bothell, WA"
158,"Little Rock, AR"
159,"Littleton, CO"
160,California
161,"Tallahassee, FL"
162,"Louisville, CO"
163,"Peoria, IL"
164,"Wichita, KS"
165,"Tysons Corner, VA"
166,"Long Island City, NY"
167,"Brookfield, WI"
168,"Kirkland, WA"
169,"Newport Beach, CA"
170,"Tulsa, OK"
171,"Chesterfield, MO"
172,"Bridgewater, NJ"
173,"Hill AFB, UT"
